Search Term,Tweet Text,URL
propublica,RT @NickBudnick: Health nonprofit behind Portland fluoridation push lays off 8; cash crisis discovered after longtime director left https:/…,
propublica,"RT @StarTribune: Photos by @fromjefferson of Street Soccer Twin Cities Championship Cup in Minneapolis, put on by growing nonprofit. https:…",
propublica,How we work ---&gt; https://t.co/Kdgd9tiXyz #SojournExplorers #Travel #Funraise #Nonprofit #Climb https://t.co/9uehEobCU8,http://bit.ly/2m4iYp3
propublica,Want hands on experience with translating aspirational mission into specific achievable impact goals? https://t.co/m7Cd3cIHYg #ldnont,http://ow.ly/AltE309tvbx
propublica,"RT @Refinery29: Tweet about a women's nonprofit you care about, and tag @Tinder &amp; #FundHerCause for a $100 donation to that cause! #ad #R29…",
propublica,"RT @s_webber: Years ago Eric tried to hire me as ED of his nonprofit. After seeing how shameless he is, I'm so thankful I said no. https://…",
propublica,RT @hunt2103: @NatbyNature my fellow Florida girl! 😍Can you help our local nonprofit @cfchive win ? Just need you to use the hashtag #fastF…,
propublica,Join the Penn-Mar Human Services team! See our latest #job opening here: https://t.co/6PQzXvBOtS #MakeADifference… https://t.co/ze2Y47aSiR,http://bit.ly/2g3UblK
propublica,RT @kylegriffin1: AARP—the nation's largest nonprofit w/ 38MIL members—has officially come out against the Republican health plan. https://…,
propublica,Can Nonprofits Really Raise Money With 5Ks? https://t.co/L9d0hc4Z4N,https://shar.es/1UhO9V
propublica,"RT @J_Hancock: Nonprofit linked to @EricGreitens raises new questions about ‘dark money,’ ethics

https://t.co/WC4kAWdIUt #moleg",http://www.kansascity.com/news/politics-government/article137209643.html
propublica,"RT @J_Hancock: Nonprofit linked to @EricGreitens raises new questions about ‘dark money,’ ethics

https://t.co/WC4kAWdIUt #moleg",http://www.kansascity.com/news/politics-government/article137209643.html
propublica,"RT @StarTribune: Photos by @fromjefferson of Street Soccer Twin Cities Championship Cup in Minneapolis, put on by growing nonprofit. https:…",
propublica,"Effort to fight #toxic #stress in St. Louis grows into full nonprofit #traumainformed
https://t.co/TLBwj0clvT",http://www.stltoday.com/lifestyles/health-med-fit/effort-to-fight-toxic-stress-in-st-lois-grows-into/article_840b6614-1fe2-5726-979f-2c646a4e1875.html
propublica,Awesome #events coming up! we hope to see you there as a #volunteer or #guest or both! #nonprofit #fundraising https://t.co/8ymO8FTuNZ,http://www.phinneysfriends.org/events
propublica,"RT @Refinery29: Tweet about a women's nonprofit you care about, and tag @Tinder &amp; #FundHerCause for a $100 donation to that cause! #ad #R29…",
propublica,RT @AdamScottKlein: So blown away by the man that is @hamm0481. Every Retweet is $5 to https://t.co/8eN42Lg7vt for lung cancer research!!!…,http://www.youcaring.com/SusieKlein
propublica,RT @kristoncapps: The Center for Immigration Studies—founded by a prominent white supremacist—is testifying at the House on EB-5 as a nonpa…,
propublica,RT @kylegriffin1: AARP—the nation's largest nonprofit w/ 38MIL members—has officially come out against the Republican health plan. https://…,
propublica,"RT @cczona: Reminder that this is who @aclu has chosen to partner with, and take advice from on how to run their nonprofit org like a YC st…",
propublica,😭😭😭 YALL. @Tinder really sent me a DM with the link to choose a nonprofit. Follow them &amp; tweet your cause to them!!… https://t.co/HSRq6HHp8M,https://twitter.com/i/web/status/839654761775386626
